university_code;university_name;location;description
KHA;Đại Học Kinh Tế Quốc Dân;Hà Nội;
BKA;Đại Học Bách Khoa Hà Nội;Hà Nội;
HTC;Học Viện Tài chính;Hà Nội;
NHH;Học Viện Ngân Hàng;Hà Nội;
NTH;Trường Đại học Ngoại thương;Hà Nội;
QSB;Trường Đại Học Bách Khoa HCM;HCM - Hồ Chí Minh;
YHB;Trường Đại Học Y Hà Nội;Hà Nội;
BVH;Học Viện Công Nghệ Bưu Chính Viễn Thông;Hà Nội;
SPH;Trường Đại Học Sư Phạm Hà Nội;Hà Nội;
TMU;Trường Đại Học Thương Mại;Hà Nội;
SPS;Trường Đại Học Sư Phạm TPHCM;Hồ Chí Minh;
YDS;Đại Học Y Dược TPHCM;HCM - Hồ Chí Minh;
QHI;Trường Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội;Hà Nội;
HNM;Trường Đại học Thủ Đô Hà Nội;Hà Nội;
GHA;Trường Đại Học Giao Thông Vận Tải;Hà Nội;
YTB;Trường Đại Học Y Dược Thái Bình;Thái Bình;
KMA;Học Viện Kỹ Thuật Mật Mã;Hà Nội;
DCN;Đại Học Công Nghiệp Hà Nội;Hà Nội;
YPB;Trường Đại Học Y Dược Hải Phòng;Hải Phòng;
IUH;Trường Đại Học Công Nghiệp TPHCM;Hồ Chí Minh;
HPN;Học Viện Phụ Nữ Việt Nam;Hà Nội;
DKH;Trường Đại Học Dược Hà Nội;Hà Nội;
ANH;Học Viện An Ninh Nhân Dân;Hà Nội;
DKY;Trường Đại Học Kỹ Thuật Y Tế Hải Dương;Hải Dương;
GTS;Trường Đại Học Giao Thông Vận Tải TPHCM;Hồ Chí Minh;
HYD;Học Viện Y Dược Học Cổ Truyền Việt Nam;Hà Nội;
CSH;Học Viện Cảnh Sát Nhân Dân;Hà Nội;
DKK;Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp;Hà Nội;
DCT;Trường Đại Học Công Thương TPHCM;Hồ Chí Minh;
LAH;Trường Sĩ Quan Lục Quân 1 - Đại học Trần Quốc Tuấn;Hà Nội;
HQH;Học Viện Hải Quân;Khánh Hòa;
HHK;Học Viện Hàng không Việt Nam;Hồ Chí Minh;
PKA;Đại Học Phenikaa;Hà Nội;
PKH;Học Viện Phòng Không – Không Quân;Hà Nội;
CSS;Trường Đại Học Cảnh Sát Nhân Dân;Hồ Chí Minh;
TTH;Trường Sĩ Quan Thông Tin - Hệ Quân sự - Đại Học Thông Tin Liên Lạc;Khánh Hòa;
NHF;Trường Đại Học Hà Nội;Hà Nội;
KQH;Học Viện Kỹ Thuật Quân Sự - Hệ Quân sự;Hà Nội;
YTC;Trường Đại Học Y Tế Công Cộng;Hà Nội;
HQT;Học Viện Ngoại Giao;Hà Nội;
ANS;Trường Đại Học An Ninh Nhân Dân;HCM - Hồ Chí Minh;
YCT;Trường Đại Học Y Dược Cần Thơ;Cần Thơ;
TDM;Trường Đại học Thủ Dầu Một;Bình Dương;
TYS;Trường Đại Học Y Khoa Phạm Ngọc Thạch;Hồ Chí Minh;
DTL;Trường Đại Học Thăng Long;Hà Nội;
TLA;Trường Đại Học Thủy Lợi;Hà Nội;
QST;Trường Đại Học Khoa Học Tự Nhiên TPHCM;Hồ Chí Minh;
VHH;Trường Đại Học Văn Hóa Hà Nội;Hà Nội;
DTT;Trường Đại Học Tôn Đức Thắng;Hồ Chí Minh;
HVN;Học Viện Nông Nghiệp Việt Nam;Hà Nội;
QHX;Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội;Hà Nội;
LPH;Trường Đại Học Luật Hà Nội;Hà Nội;
QHF;Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội;Hà Nội;
HBT;Học viện Báo chí và Tuyên truyền;Hà Nội;
QHT;Trường Đại Học Khoa Học Tự Nhiên Hà Nội;Hà Nội;
QHE;Trường Đại Học Kinh Tế - ĐHQG Hà Nội;Hà Nội;
