major_code;university_code;major_name;introduction;
7220201;KHA;Ngôn ngữ Anh;;
7310101;KHA;Kinh tế học;;
7310104;KHA;Kinh tế đầu tư;;
7310105;KHA;Kinh tế phát triển;;
7310106;KHA;Kinh tế quốc tế;;
7310107;KHA;Thống kê kinh tế;;
7310108;KHA;Toán kinh tế;;
7320108;KHA;Quan hệ công chúng;;
7340101;KHA;Quản trị kinh doanh;;
7340115;KHA;Marketing;;
7340116;KHA;Bất động sản;;
7340120;KHA;Kinh doanh quốc tế;;
7340121;KHA;Kinh doanh thương mại;;
7340122;KHA;Thương mại điện tử;;
7340201;KHA;Tài chính – Ngân hàng;;
7340204;KHA;Bảo hiểm;;
7340205;KHA;Công nghệ tài chính (dự kiến);;
7340301;KHA;Kế toán;;
7340302;KHA;Kiểm toán;;
7340401;KHA;Khoa học quản lý;;
7340403;KHA;Quản lý công;;
7340404;KHA;Quản trị nhân lực;;
7340405;KHA;Hệ thống thông tin quản lý;;
7340408;KHA;Quan hệ lao động;;
7340409;KHA;Quản lý dự án;;
7380101;KHA;Luật;;
7380107;KHA;Luật kinh tế;;
7380109;KHA;Luật thương mại quốc tế;;
7480101;KHA;Khoa học máy tính;;
7480104;KHA;Hệ thống thông tin;;
7480201;KHA;Công nghệ thông tin;;
7480202;KHA;An toàn thông tin;;
7510605;KHA;Logistics và Quản lý chuỗi cung ứng;;
7620114;KHA;Kinh doanh nông nghiệp;;
7620115;KHA;Kinh tế nông nghiệp;;
7810103;KHA;Quản trị dịch vụ du lịch và lữ hành;;
7810201;KHA;Quản trị khách sạn;;
7850101;KHA;Quản lý tài nguyên và môi trường;;
7850102;KHA;Kinh tế tài nguyên thiên nhiên;;
7850103;KHA;Quản lý đất đai;;
CLC1;KHA;(1) Kinh tế phát triển;;
CLC2;KHA;(1) Kinh tế Đầu tư;;
CLC3;KHA;(1) Tài chính doanh nghiệp;;
7460108;KHA;Khoa học dữ liệu;;
7480107;KHA;Trí tuệ nhân tạo;;
7480103;KHA;Kỹ thuật phần mềm;;
7810101;KHA;Quản trị giải trí và sự kiện;;
7310109;KHA;Kinh tế số (dự kiến);;
7460112;KHA;Toán ứng dụng (dự kiến);;
TT1;KHA;(1) Kế toán;;
TT2;KHA;(1) Tài chính;;
I. Chương trình chuẩn;BKA;I. Chương trình chuẩn;;
BF1;BKA;Kỹ thuật Sinh học;;
BF2;BKA;Kỹ thuật Thực phẩm;;
CH1;BKA;Kỹ thuật Hóa học;;
CH2;BKA;Hóa học;;
ED2;BKA;Công nghệ Giáo dục;;
ED3;BKA;Quản lý Giáo dục;;
ED5;BKA;Tâm lý học công nghiệp và tổ chức (mới);;
EE1;BKA;Kỹ thuật điện;;
EE2;BKA;Kỹ thuật điều khiển & Tự động hóa;;
EM1;BKA;Quản lý Năng lượng;;
EM2;BKA;Quản lý Công nghiệp;;
EM3;BKA;Quản trị Kinh doanh;;
EM5;BKA;Tài chính-Ngân hàng;;
ET1;BKA;Kỹ thuật Điện tử-Viễn thông;;
ET2;BKA;Kỹ thuật Y sinh;;
EV1;BKA;Kỹ thuật Môi trường;;
EV2;BKA;Quản lý Tài nguyên và Môi trường;;
FL1;BKA;Tiếng Anh KHKT và Công nghệ;;
FL3;BKA;Tiếng Trung KH&CN;;
FL4;BKA;Tiếng Hàn KH&CN (mới);;
HE1;BKA;Kỹ thuật Nhiệt;;
IT1;BKA;CNTT: Khoa học Máy tính;;
IT2;BKA;CNTT: Kỹ thuật Máy tính;;
ME1;BKA;Kỹ thuật Cơ điện tử;;
ME2;BKA;Kỹ thuật Cơ khí;;
MI1;BKA;Toán-Tin;;
MI2;BKA;Hệ thống Thông tin quản lý;;
MS1;BKA;Kỹ thuật Vật liệu;;
MS2;BKA;Kỹ thuật Vi điện tử và Công nghệ nano;;
MS3;BKA;Công nghệ vật liệu Polyme và Compozit;;
MS5;BKA;Kỹ thuật In;;
PH1;BKA;Vật lý Kỹ thuật;;
PH2;BKA;Kỹ thuật Hạt nhân;;
PH3;BKA;Vật lý Y khoa;;
TE1;BKA;Kỹ thuật Ô tô;;
TE2;BKA;Kỹ thuật Cơ khí động lực;;
TE3;BKA;Kỹ thuật Hàng không;;
TX1;BKA;Công nghệ Dệt May;;
II. Chương trình Chất lượng cao;BKA;II. Chương trình Chất lượng cao;;
BF-E12;BKA;Kỹ thuật Thực phẩm (CT tiên tiến);;
BF-E19;BKA;Kỹ thuật sinh học (CT tiên tiến);;
CH-E11;BKA;Kỹ thuật Hóa dược (CT tiên tiến);;
CH-E20;BKA;Hóa học Mỹ phẩm (mới) (CT tiên tiến);;
EE-E18;BKA;Hệ thống điện và năng lượng tái tạo (CT tiên tiến);;
EE-E8;BKA;Kỹ thuật điều khiển-Tự động hóa (CT tiên tiến);;
EM-E13;BKA;Phân tích Kinh doanh (CT tiên tiến);;
EM-E14;BKA;Logistics và Quản lý chuỗi cung ứng (CT tiên tiến);;
EM-E17;BKA;Kế toán (mới) (CT tiên tiến);;
ET-E16;BKA;Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến);;
ET-E4;BKA;Kỹ thuật Điện tử - Viễn thông (CT tiên tiến);;
ET-E5;BKA;Kỹ thuật Y sinh (CT tiên tiến);;
ET-E9;BKA;Hệ thống nhúng thông minh và IoT (tăng cường tiếng Nhật);;
ET-LUH;BKA;Điện tử - Viễn thông - ĐH Leibniz Hannover (CHLB Đức);;
IT-E10;BKA;Khoa học Dữ liệu và Trí tuệ nhân tạo (CT tiên tiến);;
IT-E15;BKA;An toàn không gian số - Cyber Security (CT tiên tiến);;
IT-E6;BKA;Công nghệ Thông tin Việt - Nhật (tăng cường tiếng Nhật);;
IT-E7;BKA;Công nghệ Thông tin Global ICT (CT tiên tiến);;
IT-EP;BKA;Công nghệ Thông tin Việt - Pháp (tăng cường tiếng Pháp);;
ME-E1;BKA;Kỹ thuật Cơ điện tử (CT tiên tiến);;
ME-GU;BKA;Cơ khí Chế tạo máy - hợp tác với trường ĐH Griffith (Úc);;
ME-LUH;BKA;Cơ điện tử - hợp tác với ĐH Leibniz Hannover (CHLB Đức);;
ME-NUT;BKA;Cơ điện tử - hợp tác với ĐHCN Nagaoka (Nhật Bản);;
MI-E22;BKA;Khoa học tính toán cho các hệ thống thông minh (mới) (CT tiên tiến);;
MS-E3;BKA;Khoa học và Kỹ thuật Vật liệu (CT tiên tiến);;
TE-E2;BKA;Kỹ thuật Ô tô (CT tiên tiến);;
III. Chương trình Việt - Pháp (PFIEV);BKA;III. Chương trình Việt - Pháp (PFIEV);;
EE-EP;BKA;Tin học công nghiệp và Tự động hóa (CT Việt - Pháp PFIEV);;
TE-EP;BKA;Cơ khí Hàng không (CT Việt - Pháp PFIEV);;
