id;year;university_code;major_code;major_name;method_code;subject_combinations;passing_score;secondary_criteria
1;2025;KHA;7220201;Ngôn ngữ Anh;100;"A00; A01; D01; D07";26.51;
2;2025;KHA;7310101;Kinh tế học (ngành Kinh tế);100;"A00; A01; D01; D07";26.52;
3;2025;KHA;7310101;Kinh tế và quản lý đô thị (ngành Kinh tế);100;"A00; A01; D01; D07";25.8;
4;2025;KHA;7310101;Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế);100;"A00; A01; D01; D07";26.79;
5;2025;KHA;7310104;Kinh tế đầu tư;100;"A00; A01; D01; D07";27.5;
6;2025;KHA;7310104;Kinh tế Đầu tư - CT CLC2;100;"A00; A01; D01; D07";26.5;
7;2025;KHA;7310105;Kinh tế phát triển;100;"A00; A01; D01; D07";26.77;
8;2025;KHA;7310105;Kinh tế phát triển - CT CLC1;100;"A00; A01; D01; D07";25.25;
9;2025;KHA;7310106;Kinh tế quốc tế;100;"A00; A01; D01; D07";28.13;
10;2025;KHA;7310106;Kinh tế quốc tế - CT CLC3;100;"A00; A01; D01; D07";26.42;
11;2025;KHA;7310107;Thống kê kinh tế;100;"A00; A01; D01; D07";26.79;
12;2025;KHA;7310108;Toán kinh tế;100;"A00; A01; D01; D07";26.73;
13;2025;KHA;7320108;Quan hệ công chúng;100;"A00; A01; D01; D07";28.07;
14;2025;KHA;7320108;Quan hệ công chúng - CT CLC2;100;"A00; A01; D01; D07";26.5;
15;2025;KHA;7340101;Quản trị kinh doanh;100;"A00; A01; D01; D07";27.1;
16;2025;KHA;7340101;Quản trị Kinh doanh - CT CLC2;100;"A00; A01; D01; D07";26.5;
17;2025;KHA;7340101;Quản trị kinh doanh - CT tiên tiến TT1;100;"A00; A01; D01; D07";24.75;
18;2025;KHA;7340115;Marketing;100;"A00; A01; D01; D07";28.12;
19;2025;KHA;7340115;Digital Marketing - CT CLC3;100;"A00; A01; D01; D07";26.42;
20;2025;KHA;7340116;Bất động sản;100;"A00; A01; D01; D07";25.41;
21;2025;KHA;7340120;Kinh doanh quốc tế;100;"A00; A01; D01; D07";28.6;
22;2025;KHA;7340101;Quản trị Kinh doanh quốc tế - CT CLC3;100;"A00; A01; D01; D07";26.42;
23;2025;KHA;7340101;Quản trị Kinh doanh quốc tế - CT tiên tiến TT2;100;"A00; A01; D01; D07";25.5;
24;2025;KHA;7340121;Kinh doanh thương mại;100;"A00; A01; D01; D07";28.0;
25;2025;KHA;7340122;Thương mại điện tử;100;"A00; A01; D01; D07";28.83;
26;2025;KHA;7340122;Thương mại điện tử - CT CLC3;100;"A00; A01; D01; D07";26.42;
27;2025;KHA;TT2;Tài chính - Ngân hàng;100;"A00; A01; D01; D07";27.34;
28;2025;KHA;TT2;Ngân hàng - CT CLC1;100;"A00; A01; D01; D07";25.25;
29;2025;KHA;CLC3;Tài chính doanh nghiệp - CT CLC3;100;"A00; A01; D01; D07";26.42;
30;2025;KHA;TT2;Kế hoạch tài chính - CT tiên tiến TT1;100;"A00; A01; D01; D07";24.75;
31;2025;KHA;TT2;Tài chính - CT tiên tiến TT2;100;"A00; A01; D01; D07";25.5;
32;2025;KHA;7340204;Bảo hiểm;100;"A00; A01; D01; D07";24.75;
33;2025;KHA;7340204;Bảo hiểm tích hợp chứng chỉ ANZ1IF - CT CLC1;100;"A00; A01; D01; D07";25.25;
34;2025;KHA;7340301;Kế toán;100;"A00; A01; D01; D07";27.1;
35;2025;KHA;7340301;Kế toán- CT tiên tiến TT1;100;"A00; A01; D01; D07";24.75;
36;2025;KHA;7340302;Kiểm toán;100;"A00; A01; D01; D07";28.38;
37;2025;KHA;7340302;Kiểm toán tích hợp chứng chỉ ACCA - CT CLC3;100;"A00; A01; D01; D07";26.42;
38;2025;KHA;7340401;Khoa học quản lý;100;"A00; A01; D01; D07";26.06;
39;2025;KHA;7340403;Quản lý công;100;"A00; A01; D01; D07";25.42;
40;2025;KHA;7340404;Quản trị nhân lực;100;"A00; A01; D01; D07";27.1;
